Tribunal,Estado(s),Sistema,Instância,DJe Citacao,DJe Intimacao
TJAC,Acre,ESAJ,1a,Simultâneo,Simultâneo,,Exclusivo
TJAC,Acre,ESAJ,2a,Simultâneo,Simultâneo,,Simultâneo
TJAL,Alagoas,ESAJ,1a,Simultâneo,Simultâneo
TJAL,Alagoas,ESAJ,2a,Simultâneo,Simultâneo
TJAL,Alagoas,Projudi,1a,Simultâneo,Simultâneo
TJAP,Amapá,Tucujuris,1a,Simultâneo,Simultâneo
TJAP,Amapá,Tucujuris,2a,Simultâneo,Simultâneo
TJAP,Amapá,PJe,1a,Simultâneo,Simultâneo
TJAM,Amazonas,ESAJ,1a,Simultâneo,Simultâneo
TJAM,Amazonas,ESAJ,2a,Simultâneo,Simultâneo
TJAM,Amazonas,Projudi,1a,Simultâneo,Simultâneo
TJBA,Bahia,ESAJ,1a,Simultâneo,Simultâneo
TJBA,Bahia,ESAJ,2a,Simultâneo,Simultâneo
TJBA,Bahia,PJe,1a,Simultâneo,Simultâneo
TJBA,Bahia,PJe,2a,Simultâneo,Simultâneo
TJBA,Bahia,Projudi,1a,Simultâneo,Simultâneo
TJBA,Bahia,Projudi,2a,Simultâneo,Simultâneo
TJCE,Ceará,ESAJ,1a,Simultâneo,Simultâneo
TJCE,Ceará,ESAJ,2a,Simultâneo,Simultâneo
TJCE,Ceará,PJe,1a,Simultâneo,Simultâneo
TJCE,Ceará,PJe,2a,Simultâneo,Simultâneo
TJCE,Ceará,Projudi,1a,Simultâneo,Simultâneo
TJCE,Ceará,Projudi,2a,Simultâneo,Simultâneo
TJDFT,Distrito Federal e Territórios,PJe,1a,Simultâneo,Simultâneo
TJDFT,Distrito Federal e Territórios,PJe,2a,Simultâneo,Simultâneo
TJDFT,Distrito Federal e Territórios,PJe,1a,Simultâneo,Simultâneo
TJDFT,Distrito Federal e Territórios,PJe,2a,Simultâneo,Simultâneo
TJES,Espírito Santo,PJe,1a,Exclusivo,Exclusivo
TJES,Espírito Santo,PJe,2a,Exclusivo,Exclusivo
TJES,Espírito Santo,Projudi,1a,Simultâneo,Simultâneo
TJES,Espirito Santo,Projudi,2a,Simultâneo,Simultâneo
TJGO,Goiás,Projudi,1a,Simultâneo,Simultâneo
TJGO,Goiás,Projudi,2a,Simultâneo,Simultâneo
TJMA,Maranhão,PJe,1a,Simultâneo,Simultâneo
TJMA,Maranhão,PJe,2a,Simultâneo,Simultâneo
TJMA,Maranhão,Projudi,1a,Simultâneo,Simultâneo
TJMA,Maranhão,Projudi,2a,Simultâneo,Simultâneo
TJMT,Mato Grosso,PJe,1a,Simultâneo,Simultâneo
TJMT,Mato Grosso,PJe,2a,Simultâneo,Simultâneo
TJMT,Mato Grosso,Projudi,1a,Simultâneo,Simultâneo
TJMT,Mato Grosso,Projudi,2a,Simultâneo,Simultâneo
TJMS,Mato Grosso do Sul,ESAJ,1a,Simultâneo,Simultâneo
TJMS,Mato Grosso do Sul,ESAJ,2a,Simultâneo,Simultâneo
TJMG,Minas Gerais,PJe,1a,Simultâneo,Simultâneo
TJMG,Minas Gerais,PJe,2a,Simultâneo,Simultâneo
TJMG,Minas Gerais,Projudi,1a,Simultâneo,Simultâneo
TJMG,Minas Gerais,Projudi,2a,Simultâneo,Simultâneo
