Tribunal,Estado(s),Sistema,Instância,Citações/Intimações,Anexos,Audiências,Dá ciência,Info
TJAC,Acre,ESAJ,1a,Sim,"Sim, ciência não necessária",Não disponibilizado pelo tribunal,Não,
TJAC,Acre,ESAJ,2a,Sim,"Sim, ciência não necessária",Não disponibilizado pelo tribunal,Não,
TJAC,Acre,e-Proc,1a,Implementação provavelmente rápida,Implementação provavelmente rápida,Implementação provavelmente rápida,Implementação provavelmente rápida,https://eproc1g.tjac.jus.br/
TJAC,Acre,e-Proc,2a,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,https://portal-eproc.tjac.jus.br/
TJAL,Alagoas,ESAJ,1a,Sim,"Sim, ciência não necessária",Não disponibilizado pelo tribunal,Sim,https://www2.tjal.jus.br/esaj/
TJAL,Alagoas,ESAJ,2a,Sim,"Sim, ciência não necessária",Não disponibilizado pelo tribunal,Sim,https://www2.tjal.jus.br/esaj/
TJAL,Alagoas,Projudi,1a,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,Não encontrado
TJAP,Amapá,Tucujuris,1a,Implementação provavelmente rápida,Não,Não,Não,https://tucujuris.tjap.jus.br/pages/login/
TJAP,Amapá,Tucujuris,2a,Implementação provavelmente rápida,Não,Não,Não,https://tucujuris.tjap.jus.br/pages/login/
TJAP,Amapá,PJe,1a,Implementação provavelmente rápida,Implementação provavelmente rápida,Implementação provavelmente rápida,Implementação provavelmente rápida,https://pje.tjap.jus.br/1g/login.seam
TJAP,Amapá,PJe,2a,Implementação provavelmente rápida,Implementação provavelmente rápida,Implementação provavelmente rápida,Implementação provavelmente rápida,https://pje.tjap.jus.br/2g/login.seam
TJAM,Amazonas,ESAJ,1a,Sim,"Sim, ciência não necessária",Não disponibilizado pelo tribunal,Sim,https://consultasaj.tjam.jus.br/
TJAM,Amazonas,ESAJ,2a,Sim,"Sim, ciência não necessária",Não disponibilizado pelo tribunal,Sim,https://consultasaj.tjam.jus.br/
TJAM,Amazonas,Projudi,1a,Sim,"Sim, ciência necessária",Sim,Sim,https://projudi.tjam.jus.br/projudi/
TJBA,Bahia,ESAJ,1a,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,
TJBA,Bahia,ESAJ,2a,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,
TJBA,Bahia,PJe,1a,Sim,"Sim, ciência necessária",Sim,Sim,https://pje.tjba.jus.br/pje/login.seam
TJBA,Bahia,PJe,2a,Sim,"Sim, ciência necessária",Sim,Sim,https://pje2g.tjba.jus.br/pje/login.seam
TJBA,Bahia,Projudi,1a,Sim,"Sim, ciência necessária",Não disponibilizado pelo tribunal,Sim,https://projudi.tjba.jus.br/projudi/
TJBA,Bahia,Projudi,2a,Sim,"Sim, ciência necessária",Não disponibilizado pelo tribunal,Sim,https://projudi.tjba.jus.br/projudi/
TJCE,Ceará,ESAJ,1a,Sim,"Sim, ciência não necessária",Não disponibilizado pelo tribunal,Sim,https://esaj.tjce.jus.br/esaj
TJCE,Ceará,ESAJ,2a,Sim,"Sim, ciência não necessária",Sim,Sim,https://esaj.tjce.jus.br/esaj
TJCE,Ceará,PJe,1a,Sim,"Sim, ciência necessária",Sim,Implementação provavelmente rápida,https://pje.tjce.jus.br/pje1grau/login.seam
TJCE,Ceará,PJe,2a,Sim,"Sim, ciência necessária",Sim,Implementação provavelmente rápida,https://pje.tjce.jus.br/pje2grau/login.seam
TJCE,Ceará,Projudi,1a,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,
TJCE,Ceará,Projudi,2a,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,
TJDFT,Distrito Federal e Territórios,PJe,1a,Sim,"Sim, ciência necessária",Sim,Sim,https://pje.tjdft.jus.br/pje/login.seam
TJDFT,Distrito Federal e Territórios,PJe,2a,Sim,"Sim, ciência necessária",Sim,Sim,https://pje2i.tjdft.jus.br/pje/login.seam
TJDFT,Distrito Federal e Territórios,Projudi,1a,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,
TJDFT,Distrito Federal e Territórios,Projudi,2a,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,
TJES,Espírito Santo,PJe,1a,Sim,"Sim, ciência necessária",Sim,Sim,https://pje.tjes.jus.br/pje/login.seam
TJES,Espírito Santo,PJe,2a,Sim,"Sim, ciência necessária",Sim,Sim,https://pje.tjes.jus.br/pje2g/
TJES,Espírito Santo,Projudi,1a,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,
TJES,Espírito Santo,Projudi,2a,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,
TJGO,Goiás,Projudi,1a,Sim,"Sim, ciência não necessária",Sim,Sim,
TJGO,Goiás,Projudi,2a,Sim,"Sim, ciência não necessária",Sim,Sim,
TJMA,Maranhão,PJe,1a,Sim,"Sim, ciência necessária",Sim,Sim,
TJMA,Maranhão,PJe,2a,Sim,"Sim, ciência necessária",Sim,Sim,
TJMA,Maranhão,Projudi,1a,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,
TJMA,Maranhão,Projudi,2a,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,
TJMT,Mato Grosso,PJe,1a,Sim,"Sim, ciência necessária",Sim,Sim,
