Tribunal,Estado(s),Sistema,Instância,Citações/Intimações,Anexos,Audiências,Dá ciência,Info
TRF1,"AC, AM, AP, BA, DF, GO, MA, MT, PA, PI, RO, RR, TO",PJe,"1a  JFAC, JFAM, JFAP, JFBA, JFDF, JFGO, JFMA, JFMT, JFPA, JFPI, JFRO, JFRR, JFTO",Sim,"Sim, ciência necessária",Sim,Sim,
TRF1,"AC, AM, AP, BA, DF, GO, MA, MT, PA, PI, RO, RR, TO",PJe,2a  TRF1,Sim,"Sim, ciência necessária",Sim,Sim,
TRF2,"RJ, ES",e-Proc,"1a  JFRJ, JFES",Implementação provavelmente rápida,Implementação provavelmente rápida,Não,Implementação provavelmente rápida,
TRF2,"RJ, ES",e-Proc,2a  TRF2,Implementação provavelmente rápida,Implementação provavelmente rápida,Não,Implementação provavelmente rápida,
TRF3,"SP, MS",PJe,"1a  JFSP, JFMS",Implementação provavelmente rápida,Implementação provavelmente rápida,Implementação provavelmente rápida,Implementação provavelmente rápida,
TRF3,"SP, MS",PJe,2a  TRF3,Implementação provavelmente rápida,Implementação provavelmente rápida,Implementação provavelmente rápida,Implementação provavelmente rápida,
TRF4,"PR, SC, RS",e-Proc,"1a  JFPR, JFSC, JFRS",Sim,"Sim, ciência necessária",Não,Sim,
TRF4,"PR, SC, RS",e-Proc,2a  TRF4,Sim,"Sim, ciência necessária",Não,Sim,
TRF5,"AL, CE, PB, PE, RN, SE",PJe,"1a  JFAL, JFCE, JFPB, JFPE, JFRN, JFSE",Não,Não,Não,Não,
TRF5,"AL, CE, PB, PE, RN, SE",PJe,2a  TRF5,Não,Não,Não,Não,
TRF5,"AL, CE, PB, PE, RN, SE",PJe JEF,1a,Sim,"Sim, ciência necessária",Sim,Sim,
TRF5,"AL, CE, PB, PE, RN, SE",PJe JEF,2a,Sim,"Sim, ciência necessária",Sim,Sim,
TRF6,MG,PJe,1a,Implementação provavelmente rápida,Implementação provavelmente rápida,Implementação provavelmente rápida,Implementação provavelmente rápida
TRF6,MG,PJe,2a,Implementação provavelmente rápida,Implementação provavelmente rápida,Implementação provavelmente rápida,Implementação provavelmente rápida
